clade	species	length	orf_valid	gc_content	gc_stretch_count	codon_ACC	codon_AAT	codon_CAA	codon_AGT	codon_ACG	codon_GCA	codon_TGC	codon_GTA	codon_CCC	codon_AGG	codon_TAC	codon_GGA	codon_ATT	codon_CGA	codon_GGT	codon_AAA	codon_CAG	codon_AAC	codon_CTC	codon_TGA	codon_GTT	codon_GAT	codon_AGA	codon_GTG	codon_ACT	codon_GAA	codon_TAT	codon_ATG	codon_GGC	codon_CAT	codon_AAG	codon_CCG	codon_CTG	codon_GAG	codon_TCT	codon_AGC	codon_TTT	codon_ATA	codon_CCA	codon_ATC	codon_CGG	codon_GCG	codon_ACA	codon_TTC	codon_CGC	codon_TCA	codon_TTG	codon_CTT	codon_CGT	codon_TGG	codon_GAC	codon_CTA	codon_TAA	codon_TAG	codon_TGT	codon_GGG	codon_TTA	codon_CCT	codon_GCC	codon_TCC	codon_GTC	codon_GCT	codon_TCG	codon_CAC
NC_073272.2	-1::NC_073272.2:2118347-2126819	8472	False	0.6403	1	97.0	1.0	11.0	3.0	67.0	86.0	67.0		151.0	88.0		70.0	1.0	70.0	3.0		74.0	8.0	152.0	7.0		2.0	6.0	3.0	4.0	1.0	1.0	9.0	5.0	7.0	8.0	80.0	78.0	3.0	106.0	6.0	3.0	1.0	22.0	5.0	3.0	15.0	375.0	9.0	9.0		2.0	8.0	61.0	4.0	140.0			2.0	2.0	97.0		151.0	6.0	168.0	74.0	5.0	1.0	386.0
NC_073272.2	-2::NC_073272.2:160232749-160240870	8121	False	0.5045	0										70.0					1270.0						69.0								8.0		1.0																							1261.0		6.0							22.0	
NC_073272.2	3::NC_073272.2:160232750-160240871	8121	False	0.5045	0								1.0		1262.0					7.0						1269.0																				22.0															69.0	69.0					8.0		
NC_073272.2	-1::NC_073272.2:160232756-160240463	7707	False	0.5049	0								1.0		1262.0					6.0						1269.0																				22.0															1.0						8.0		
NC_073272.2	1::NC_073272.2:160232757-160240458	7701	False	0.5049	0								6.0																																				22.0								8.0				1284.0	1247.0							
NC_073252.2	2::NC_073252.2:810883-833707	22824	False	0.49	1	244.0	9.0	24.0		9.0	118.0	144.0	7.0	183.0		187.0		17.0	4.0		13.0	14.0	22.0	183.0			5.0	4.0		18.0	2.0	170.0	123.0		751.0		5.0	30.0		252.0	8.0		184.0	741.0	601.0		1.0	1259.0	24.0	13.0	14.0		10.0	10.0		6.0	166.0			6.0		2.0	114.0	30.0	552.0	11.0	1.0	1.0	1316.0
NC_073252.2	1::NC_073252.2:812607-826149	13542	False	0.4884	1	152.0	1.0	18.0		11.0	75.0	71.0		107.0		111.0		11.0	2.0		6.0	10.0	9.0	96.0			2.0	5.0		13.0	3.0	103.0	75.0		443.0		5.0	16.0		146.0	2.0		114.0	414.0	370.0			746.0	16.0	4.0	14.0		6.0	8.0		1.0	98.0			6.0			82.0	21.0	345.0	4.0			772.0
NC_073252.2	3::NC_073252.2:822293-840473	18180	False	0.4918	1	205.0	3.0	11.0		7.0	97.0	113.0	5.0	148.0		150.0		7.0	5.0		7.0	10.0	18.0	146.0			3.0	3.0		11.0	2.0	136.0	101.0		612.0		3.0	19.0		196.0	4.0		138.0	580.0	487.0			1014.0	16.0	9.0	9.0		12.0	7.0		3.0	131.0			4.0			91.0	28.0	442.0	6.0			1061.0
NC_073252.2	1::NC_073252.2:829581-841455	11874	False	0.4933	0	134.0	1.0	10.0	2.0	7.0	63.0	75.0	2.0	97.0	1.0	87.0		4.0		1.0	3.0	9.0	9.0	90.0			2.0	3.0		3.0	1.0	87.0	67.0	2.0	386.0		4.0	13.0		126.0	4.0		97.0	380.0	325.0		1.0	654.0	9.0	2.0	9.0		10.0	5.0		4.0	84.0			5.0		1.0	62.0	16.0	292.0	4.0	1.0	1.0	703.0
NC_073252.2	-3::NC_073252.2:182690975-182707829	16854	False	0.6185	0	2.0	3.0	3.0	519.0	3.0	323.0	386.0	3.0	1.0	235.0	2.0	463.0	4.0	3.0	32.0	1.0	290.0	1.0	3.0	398.0	3.0	356.0	3.0	486.0	13.0	5.0	1.0	497.0	8.0	3.0	5.0	142.0	16.0	373.0	4.0	2.0	3.0	2.0	9.0	3.0	128.0	3.0	4.0	1.0			4.0	3.0	1.0	63.0	3.0		2.0	1.0	4.0	576.0		1.0	198.0	1.0	1.0	13.0		2.0
NC_073252.2	-1::NC_073252.2:182690989-182707708	16719	False	0.6201	0		3.0	1.0	441.0		284.0	530.0	2.0		330.0	3.0	395.0		2.0	44.0		234.0	1.0	1.0	333.0	2.0	495.0	5.0	407.0		5.0	3.0	425.0	3.0	3.0	2.0	130.0	14.0	522.0	3.0	1.0	1.0		8.0	2.0	206.0		1.0				1.0			64.0	13.0		1.0		6.0	477.0			152.0			14.0		3.0
NC_073252.2	-2::NC_073252.2:182691084-182707728	16644	False	0.6215	0		1.0		372.0	2.0	230.0	445.0	1.0		289.0		541.0		2.0	34.0		332.0		2.0	486.0		423.0	5.0	553.0		2.0		357.0	2.0		2.0	196.0	20.0	440.0	1.0	2.0		1.0	4.0		145.0	11.0	2.0					1.0		65.0			1.0		4.0	420.0			137.0	1.0	1.0	15.0		
NC_073252.2	-2::NC_073252.2:184439505-184447542	8037	False	0.6405	1		8.0	1.0	10.0	1.0	1.0		1.0	69.0	499.0	2.0	1.0	2.0	113.0	1.0	3.0	7.0	3.0	2.0	201.0	3.0	127.0	72.0	1.0	2.0	13.0	1.0	2.0	1.0	58.0	10.0	2.0	6.0	194.0	2.0	203.0	3.0	1.0	205.0	2.0	86.0		4.0	3.0	1.0		2.0	5.0			8.0		2.0	1.0	2.0	2.0		129.0	195.0	4.0	2.0	4.0		396.0
NC_073252.2	2::NC_073252.2:184439608-184447618	8010	False	0.6416	1	2.0	3.0	2.0	2.0	6.0	1.0	2.0	2.0	70.0	197.0		190.0	3.0		181.0	2.0	3.0	3.0	130.0		5.0	9.0	8.0	8.0	1.0	7.0	1.0	187.0	87.0	3.0	8.0	2.0	3.0	2.0	2.0	4.0	3.0	2.0	195.0	3.0	1.0	5.0	399.0	4.0		2.0		1.0	2.0	1.0	369.0	2.0			4.0	128.0	4.0	1.0	196.0	5.0		3.0	1.0	203.0
NC_073252.2	-1::NC_073252.2:184439689-184447459	7770	False	0.6481	1			1.0	2.0	6.0		1.0		68.0	194.0		189.0			181.0				129.0		4.0	9.0	6.0	7.0		6.0		184.0	86.0	2.0	8.0	2.0	1.0	2.0	1.0	4.0	1.0	1.0	195.0	2.0	1.0	5.0	397.0								367.0				1.0	127.0			194.0	1.0		3.0	1.0	201.0
